session_id,station_id,location_type,user_id,start_time,end_time,duration_hours,energy_kwh,charger_kw,start_hour,day_of_week,day_of_week_num,is_weekend,month,date,season
S0000069,STN_015,Residential,UNKNOWN,2023-01-01 00:18:00,2023-01-01 05:04:01.515952,4.77,69.99,22,0,Sunday,6,True,1,2023-01-01,Winter
S0000071,STN_015,Residential,U00592,2023-01-01 00:19:00,2023-01-01 05:52:54.659155,5.57,35.94,11,0,Sunday,6,True,1,2023-01-01,Winter
S0000106,STN_019,Highway_Rest_Stop,U00243,2023-01-01 00:19:00,2023-01-01 02:33:49.316326,2.25,55.23,50,0,Sunday,6,True,1,2023-01-01,Winter
S0000030,STN_008,Residential,U00455,2023-01-01 00:36:00,2023-01-01 06:00:35.515759,5.41,33.5,11,0,Sunday,6,True,1,2023-01-01,Winter
S0000084,STN_016,Residential,U02900,2023-01-01 00:38:00,2023-01-01 06:40:29.327073,6.04,114.5,50,0,Sunday,6,True,1,2023-01-01,Winter
S0000078,STN_016,Residential,U02604,2023-01-01 00:59:00,2023-01-01 05:31:07.879371,4.54,120.0,50,0,Sunday,6,True,1,2023-01-01,Winter
S0000145,STN_025,Residential,U02096,2023-01-01 01:15:00,2023-01-01 07:09:07.416535,5.9,120.0,50,1,Sunday,6,True,1,2023-01-01,Winter
S0000076,STN_016,Residential,U03026,2023-01-01 01:23:00,2023-01-01 08:20:26.268007,6.96,22.14,7,1,Sunday,6,True,1,2023-01-01,Winter
S0000134,STN_023,Downtown,U02611,2023-01-01 01:52:00,2023-01-01 03:43:22.446829,1.86,29.44,22,1,Sunday,6,True,1,2023-01-01,Winter
S0000033,STN_008,Residential,U01275,2023-01-01 02:03:00,2023-01-01 07:49:12.588620,5.77,30.79,7,2,Sunday,6,True,1,2023-01-01,Winter
S0000062,STN_014,Residential,U03872,2023-01-01 02:14:00,2023-01-01 04:51:43.926852,2.63,13.81,7,2,Sunday,6,True,1,2023-01-01,Winter
S0000034,STN_008,Residential,U00624,2023-01-01 02:18:00,2023-01-01 08:21:39.906756,6.06,120.0,150,2,Sunday,6,True,1,2023-01-01,Winter
S0000104,STN_019,Highway_Rest_Stop,U00863,2023-01-01 02:19:00,2023-01-01 04:44:59.807649,2.43,38.61,22,2,Sunday,6,True,1,2023-01-01,Winter
S0000075,STN_016,Residential,U03012,2023-01-01 02:46:00,2023-01-01 08:06:42.183591,5.35,82.63,22,2,Sunday,6,True,1,2023-01-01,Winter
S0000110,STN_020,Office_Park,U03110,2023-01-01 03:06:00,2023-01-01 04:40:22.680999,1.57,5.97,7,3,Sunday,6,True,1,2023-01-01,Winter
S0000002,STN_001,Downtown,U00425,2023-01-01 03:24:00,2023-01-01 05:47:47.881448,2.4,6.06,7,3,Sunday,6,True,1,2023-01-01,Winter
S0000132,STN_023,Downtown,U03934,2023-01-01 03:57:00,2023-01-01 05:18:54.495833,1.37,7.45,7,3,Sunday,6,True,1,2023-01-01,Winter
S0000092,STN_018,Downtown,U00954,2023-01-01 04:06:00,2023-01-01 05:20:37.051469,1.24,120.0,150,4,Sunday,6,True,1,2023-01-01,Winter
S0000081,STN_016,Residential,U00771,2023-01-01 04:10:00,2023-01-01 09:45:15.852026,5.59,18.24,7,4,Sunday,6,True,1,2023-01-01,Winter
S0000064,STN_015,Residential,U01018,2023-01-01 04:11:00,2023-01-01 08:32:30.146140,4.36,35.57,11,4,Sunday,6,True,1,2023-01-01,Winter
S0000102,STN_019,Highway_Rest_Stop,U02012,2023-01-01 05:17:00,2023-01-01 06:47:01.403477,1.5,120.0,150,5,Sunday,6,True,1,2023-01-01,Winter
S0000112,STN_020,Office_Park,U01659,2023-01-01 05:23:00,2023-01-01 08:04:13.833468,2.69,7.64,7,5,Sunday,6,True,1,2023-01-01,Winter
S0000036,STN_009,Mall,U01972,2023-01-01 05:30:00,2023-01-01 07:19:19.959842,1.82,33.87,50,5,Sunday,6,True,1,2023-01-01,Winter
S0000008,STN_001,Downtown,U01788,2023-01-01 05:43:00,2023-01-01 06:45:26.279587,1.04,4.56,11,5,Sunday,6,True,1,2023-01-01,Winter
S0000100,STN_018,Downtown,U02700,2023-01-01 06:16:00,2023-01-01 07:53:33.147442,1.63,4.47,7,6,Sunday,6,True,1,2023-01-01,Winter
S0000038,STN_010,Downtown,UNKNOWN,2023-01-01 06:24:00,2023-01-01 08:31:59.722245,2.13,120.0,150,6,Sunday,6,True,1,2023-01-01,Winter
S0000131,STN_023,Downtown,U01439,2023-01-01 06:53:00,2023-01-01 08:18:53.820567,1.43,13.38,22,6,Sunday,6,True,1,2023-01-01,Winter
S0000028,STN_008,Residential,U01852,2023-01-01 07:01:00,2023-01-01 10:46:23.731323,3.76,120.0,50,7,Sunday,6,True,1,2023-01-01,Winter
S0000079,STN_016,Residential,U03341,2023-01-01 07:08:00,2023-01-01 11:21:49.383408,4.23,18.15,11,7,Sunday,6,True,1,2023-01-01,Winter
S0000024,STN_007,Downtown,U00072,2023-01-01 07:08:00,2023-01-01 09:21:52.361543,2.23,6.5,7,7,Sunday,6,True,1,2023-01-01,Winter
S0000022,STN_007,Downtown,U01122,2023-01-01 07:22:00,2023-01-01 11:44:45.128135,4.38,98.14,50,7,Sunday,6,True,1,2023-01-01,Winter
S0000105,STN_019,Highway_Rest_Stop,U01199,2023-01-01 07:35:00,2023-01-01 09:43:44.180234,2.15,11.11,11,7,Sunday,6,True,1,2023-01-01,Winter
S0000090,STN_017,Office_Park,U02060,2023-01-01 07:37:00,2023-01-01 11:28:09.661606,3.85,120.0,50,7,Sunday,6,True,1,2023-01-01,Winter
S0000118,STN_021,Office_Park,U02750,2023-01-01 07:37:00,2023-01-01 10:56:24.944515,3.32,47.17,22,7,Sunday,6,True,1,2023-01-01,Winter
S0000065,STN_015,Residential,U02165,2023-01-01 07:38:00,2023-01-01 09:51:09.522908,2.22,12.79,7,7,Sunday,6,True,1,2023-01-01,Winter
S0000135,STN_023,Downtown,U03114,2023-01-01 07:43:00,2023-01-01 10:01:38.601653,2.31,18.47,22,7,Sunday,6,True,1,2023-01-01,Winter
S0000111,STN_020,Office_Park,U01962,2023-01-01 08:03:00,2023-01-01 09:03:52.305295,1.01,3.56,7,8,Sunday,6,True,1,2023-01-01,Winter
S0000115,STN_020,Office_Park,U03453,2023-01-01 08:15:00,2023-01-01 11:50:06.681976,3.59,14.81,7,8,Sunday,6,True,1,2023-01-01,Winter
S0000082,STN_016,Residential,U00056,2023-01-01 08:17:00,2023-01-01 09:36:07.751108,1.32,17.31,22,8,Sunday,6,True,1,2023-01-01,Winter
S0000004,STN_001,Downtown,U00665,2023-01-01 08:30:00,2023-01-01 10:55:52.871700,2.43,30.65,22,8,Sunday,6,True,1,2023-01-01,Winter
S0000025,STN_007,Downtown,U03064,2023-01-01 08:40:00,2023-01-01 09:11:57.132509,0.53,8.17,22,8,Sunday,6,True,1,2023-01-01,Winter
S0000128,STN_023,Downtown,U02870,2023-01-01 08:40:00,2023-01-01 12:36:41.285837,3.94,63.29,22,8,Sunday,6,True,1,2023-01-01,Winter
S0000007,STN_001,Downtown,U01045,2023-01-01 08:41:00,2023-01-01 10:08:08.039300,1.45,120.0,150,8,Sunday,6,True,1,2023-01-01,Winter
S0000013,STN_002,Residential,U02450,2023-01-01 09:10:00,2023-01-01 10:12:42.141265,1.05,12.03,22,9,Sunday,6,True,1,2023-01-01,Winter
S0000138,STN_024,Highway_Rest_Stop,U01892,2023-01-01 09:20:00,2023-01-01 12:03:05.262689,2.72,7.6,7,9,Sunday,6,True,1,2023-01-01,Winter
S0000010,STN_001,Downtown,U01971,2023-01-01 09:34:00,2023-01-01 10:50:32.588792,1.28,46.52,50,9,Sunday,6,True,1,2023-01-01,Winter
S0000001,STN_001,Downtown,U01637,2023-01-01 09:38:00,2023-01-01 11:02:36.298010,1.41,17.445,50,9,Sunday,6,True,1,2023-01-01,Winter
S0000091,STN_017,Office_Park,U00297,2023-01-01 09:43:00,2023-01-01 10:37:37.645238,0.91,35.66,50,9,Sunday,6,True,1,2023-01-01,Winter
S0000046,STN_012,Highway_Rest_Stop,U03839,2023-01-01 09:43:00,2023-01-01 12:32:29.557107,2.82,120.0,150,9,Sunday,6,True,1,2023-01-01,Winter
S0000080,STN_016,Residential,U01226,2023-01-01 09:45:00,2023-01-01 11:52:38.921209,2.13,9.95,11,9,Sunday,6,True,1,2023-01-01,Winter
S0000087,STN_017,Office_Park,U02763,2023-01-01 09:54:00,2023-01-01 12:44:22.400593,2.84,16.17,7,9,Sunday,6,True,1,2023-01-01,Winter
S0000009,STN_001,Downtown,U03234,2023-01-01 09:54:00,2023-01-01 12:55:00.352016,3.02,10.62,7,9,Sunday,6,True,1,2023-01-01,Winter
S0000019,STN_005,Office_Park,U03965,2023-01-01 09:57:00,2023-01-01 12:14:43.964410,2.3,24.14,22,9,Sunday,6,True,1,2023-01-01,Winter
S0000017,STN_004,Office_Park,U01283,2023-01-01 10:16:00,2023-01-01 12:25:22.821827,2.16,34.84,22,10,Sunday,6,True,1,2023-01-01,Winter
S0000035,STN_009,Mall,U03937,2023-01-01 10:17:00,2023-01-01 13:37:43.960562,3.35,18.73,11,10,Sunday,6,True,1,2023-01-01,Winter
S0000042,STN_012,Highway_Rest_Stop,U03842,2023-01-01 10:25:00,2023-01-01 15:34:07.236620,5.15,35.01,11,10,Sunday,6,True,1,2023-01-01,Winter
S0000103,STN_019,Highway_Rest_Stop,U02242,2023-01-01 10:32:00,2023-01-01 12:01:01.621627,1.48,34.69,50,10,Sunday,6,True,1,2023-01-01,Winter
S0000123,STN_023,Downtown,U01660,2023-01-01 10:35:00,2023-01-01 12:25:04.829401,1.83,72.49,50,10,Sunday,6,True,1,2023-01-01,Winter
S0000125,STN_023,Downtown,UNKNOWN,2023-01-01 10:35:00,2023-01-01 13:03:34.390974,2.48,41.84,22,10,Sunday,6,True,1,2023-01-01,Winter
